Game,Boxart,URL,IARC
Red Dead Revolver,https://store-images.s-microsoft.com/image/apps.62254.13723583390629374.90a33554-2dd5-44fc-9f0c-9db12fc5e635.e8919e44-bcd6-4448-8a17-97452c6d5d59?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/red-dead-revolver/9NP7Q2SSS81W/0010,16
"Warhammer 40,000: Battlesector",https://store-images.s-microsoft.com/image/apps.26109.14590233302827538.70136681-c41b-42f8-a975-a9edb5e9d3f3.c591cd02-9837-4fe4-99a1-42b90cfba64e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/warhammer-40000-battlesector/9P4FCZR21QQK/0010,16
STAR WARS™ - Knights of the Old Republic™,https://store-images.s-microsoft.com/image/apps.32019.70175563886973287.cdcc9630-9116-4c57-94d8-f8a844937ece.c5c3725d-0186-455e-b24a-744839755715?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/star-wars-knights-of-the-old-republic/BS8LFD7729CL/0001,12
Teenage Mutant Ninja Turtles: Shredder's Revenge - Dimension Shellshock,https://store-images.s-microsoft.com/image/apps.65239.14620139346437756.7614d2ef-6004-4a2c-a044-9c732cb94408.f7970c4e-7a7a-444f-9dd6-87c767755afb?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/teenage-mutant-ninja-turtles-shredders-revenge-dimension-shellshock/9P6GWDW4VHHF/0010,12
Green Hell,https://store-images.s-microsoft.com/image/apps.33854.13940291450306824.b8a3160d-1f0e-47b1-a033-3deacec85b8a.cc04bced-0eb3-4d08-ac39-a1bb498d20ce?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/green-hell/9N39Q75R7G35/0010,16
Freddy Fazbear's Pizzeria Simulator,https://store-images.s-microsoft.com/image/apps.5269.13682780537640100.576cf9e6-eb8e-4a72-84ca-3f229c8fab47.65cc570b-8b70-4e12-88d7-8f806bc0434a?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/freddy-fazbears-pizzeria-simulator/9NJ5VQGQH7K1/0010,12
Sifu,https://store-images.s-microsoft.com/image/apps.22704.14108092972231485.130f8f79-218a-4318-83ee-72f0213be0dd.6ca34cbe-4daf-4ed6-a17b-e384394e2dd5?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/sifu/9P7PF6ZP3958/0010,16
ごく普通の鹿のゲーム DEEEER Simulator,https://store-images.s-microsoft.com/image/apps.55084.13741589124987756.7ce40278-4e54-4838-8822-3f597ec873af.2ed8138c-f33e-41bc-b580-00673510a837?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/deeeer-simulator/9NNBPBM2F60W/0010,12
Aliens: Dark Descent,https://store-images.s-microsoft.com/image/apps.52207.13895334412764328.559da51b-cee3-4463-b8c6-75819f96d69c.4d6099e2-80ff-46cb-a1c4-3bd838b87e22?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/aliens-dark-descent/9MX7DMHK13SC/0010,16
Stay Out of the House,https://store-images.s-microsoft.com/image/apps.28476.14012685905295963.b005b383-b989-4eb7-8599-f194d7c1d9d2.ae3c0fae-e0a4-4ba8-bed6-0dd3671276e1?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/stay-out-of-the-house/9N6KHKGDRWH6/0010,18
